id: 285, score:   0.08, green: 14, yellow:  6, red:  6, rose:  3
id: 286, score:   0.08, green: 12, yellow:  9, red:  6, rose:  2
id: 288, score:   0.08, green: 11, yellow: 11, red:  5, rose:  1
id: 289, score:   0.08, green: 12, yellow:  8, red:  6, rose:  3
id: 295, score:   0.08, green: 12, yellow: 11, red:  4, rose:  2
id: 300, score:   0.08, green: 14, yellow:  4, red:  8, rose:  4
id: 301, score:   0.08, green: 13, yellow:  7, red:  6, rose:  4
id: 305, score:   0.08, green:  8, yellow: 14, red:  5, rose:  1
id: 308, score:   0.08, green: 17, yellow:  5, red:  4, rose:  4
id: 309, score:   0.08, green: 12, yellow:  6, red:  8, rose:  5
id: 313, score:   0.08, green: 11, yellow: 10, red:  5, rose:  2
id: 314, score:   0.08, green: 14, yellow:  7, red:  6, rose:  2
id: 318, score:   0.08, green: 13, yellow:  6, red:  7, rose:  2
id: 320, score:   0.08, green: 12, yellow:  8, red:  6, rose:  3
id: 327, score:   0.08, green: 13, yellow:  5, red:  8, rose:  5
id: 332, score:   0.08, green: 12, yellow:  9, red:  6, rose:  3
id: 334, score:   0.08, green: 10, yellow:  8, red:  8, rose:  5
id: 339, score:   0.08, green: 10, yellow: 11, red:  5, rose:  4
id: 340, score:   0.08, green: 10, yellow: 12, red:  5, rose:  3
id: 341, score:   0.08, green: 13, yellow:  6, red:  8, rose:  5
id: 342, score:   0.08, green: 13, yellow:  6, red:  7, rose:  5
id: 343, score:   0.08, green: 13, yellow:  7, red:  5, rose:  1
id: 344, score:   0.08, green: 10, yellow: 12, red:  5, rose:  3
id: 355, score:   0.08, green: 12, yellow: 10, red:  5, rose:  3
id: 357, score:   0.08, green: 12, yellow: 12, red:  3, rose:  0
id: 358, score:   0.08, green: 13, yellow:  7, red:  7, rose:  4
